,tmdb_id,title,poster,kyewords
15,370172,No Time to Die,https://image.tmdb.org/t/p/w500/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,action adventure thriller james bond leave active service peace short live felix leiter old friend cia turn ask help lead bond onto trail mysterious villain armed dangerous new technology officialjamesbondserie jamesbondcharacter espionage mi poison deathofmajorcharacter spy shoot secretagent robertwade caryjojifukunaga danielcraig anadearmas ramimalek caryjojifukunaga nealpurvis
16,414906,The Batman,https://image.tmdb.org/t/p/w500/74xTEgt7R36Fpooo50r9T25onhq.jpg,action crime drama sadistic serial killer begin murder key political figure gotham batman force investigate citys hidden corruption question family involvement superhero batmancharacter gothamcity basedoncomic dccomics riddle maskedsuperhero brucewaynecharacter catwomancharacter penguincharacter petercraig billfinger robertpattinson zo kravitz jeffreywright mattreeve mattreeve
17,718930,Bullet Train,https://image.tmdb.org/t/p/w500/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,action thriller five assassin aboard fast move bullet train find mission something common train assassin crew fight assignment danger passenger mission columbiatristar sony zakolkewicz karenfukuhara bradpitt sandrabullock davidleitch davidleitch k tar isaka
18,718930,Bullet Train,https://image.tmdb.org/t/p/w500/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,action crime drama criminal plant bomb high speed train explode train slow unless ransom pay blackmail bullettrain loot railroad conductor explosive cynicism misfit divorce panic junyasat sunaosakagami kentakakura shinichichiba keiyamamoto junyasat ry nosukeono
19,135397,Jurassic World,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,action adventure sci fi new theme park build original site jurassic park create genetically modify hybrid dinosaur indominus rex escape containment go kill spree dinosaur velociraptor themepark disasterfilm experimentgonewrong aquarium helicoptercrash jurassicpark pig island amandasilver colintrevorrow chrispratt brycedallashoward tysimpkin colintrevorrow rickjaffa
20,351286,Jurassic World: Fallen Kingdom,https://image.tmdb.org/t/p/w500/x8cLgs0uXlb9rmpuVIxopoRGnCr.jpg,action adventure sci fi island dormant volcano begin roar life owen claire mount campaign rescue remain dinosaur extinction level event dinosaur island sequel tyrannosaurusrex jurassicpark clone blockbuster creaturefeature geneticengineering secretlaboratory colintrevorrow michaelcrichton chrispratt brycedallashoward rafespall jabayona derekconnolly
21,743563,Vikram,https://image.tmdb.org/t/p/w500/774UV1aCURb4s4JfEFg3IEMu5Zj.jpg,action thriller amar assign investigate case serial killing amar investigates case realize seem follow path lead nothing war everyone involve thiller entertainer investigator actionthriller crimeorganization actionhero shootout violence rathnakumar kamalhaasan vijaysethupathi fahadhfaasil lokeshkanagaraj lokeshkanagaraj lokeshkanagaraj
22,526896,Morbius,https://image.tmdb.org/t/p/w500/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg,action adventure horror biochemist michael morbius try cure rare blood disease inadvertently infect form vampirism instead vampire basedoncomic marvelcomic superhero blood blooddisease babescientist barechestedmale building sceneduringendcredits burksharpless jaredleto mattsmith adriaarjona danielespinosa danielespinosa mattsazama
23,752623,The Lost City,https://image.tmdb.org/t/p/w500/neMZH82Stu91d3iqvLdNQfqPPyl.jpg,action adventure comedy reclusive romance novelist book tour cover model get sweep kidnapping attempt land cutthroat jungle adventure reclusivewriter writer booktour kidnap leech romancenovelist jungleadventure model jungle novelist orenuziel danafox adamnee sandrabullock channingtatum aaronnee adamnee
24,634649,Spider-Man: No Way Home,https://image.tmdb.org/t/p/w500/5weKu49pzJCt06OPpjvT80efnQj.jpg,action adventure fantasy spider man identity reveal peter ask doctor strange help spell go wrong dangerous foe world start appear force peter discover truly mean spider man spidermancharacter marvelcinematicuniverse multiverse greengoblincharacter superhero basedoncomic peterparkercharacter villain doctorstrangecharacter newyorkcity eriksommer stanlee tomholland zendaya benedictcumberbatch jonwatts chrismckenna
25,961484,Last Seen Alive,https://image.tmdb.org/t/p/w500/qvqyDj34Uivokf4qIvK4bH0m0qF.jpg,action thriller will soon ex wife mysteriously vanish gas station delve town criminal underbelly run authority race time find conspiracythriller disappearance gerardbutler jaimiealexander russellhornsby briangoodman marcfrydman briangoodman marcfrydman
26,675353,Sonic the Hedgehog 2,https://image.tmdb.org/t/p/w500/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,action adventure comedy manic dr robotnik return earth new ally knuckle echidna sonic new friend tail stand way sonicthehedgehogcharacter sequel humananimalfriendship sonicthehedgehog sidekick basedonvideogame knucklestheechidnacharacter drivoeggmanrobotnikcharacter anthropomorphicanimal liveactionadaptation joshmiller johnwhittington jamesmarsden jimcarrey benschwartz jefffowler patcasey
27,335787,Uncharted,https://image.tmdb.org/t/p/w500/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,action adventure street smart nathan drake recruit seasoned treasure hunter victor sully sullivan recover fortune amass ferdinand magellan lose year ago house moncada basedonvideogame hero treasure actionhero island uncharted showdown museum chase thief artmarcum mattholloway tomholland markwahlberg antoniobanderas rubenfleischer rafejudkin
28,766507,Prey,https://image.tmdb.org/t/p/w500/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,action drama horror origin story predator world comanche nation year ago naru skilled female warrior fight protect tribe one first highly evolve predator land earth prequel predator origin alien hunter blood violence antihero hulu gore ambermidthunder danediliegro harlanblaynekytwayhat dantrachtenberg patrickaison dantrachtenberg patrickaison
29,766507,Prey,https://image.tmdb.org/t/p/w500/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,adventure drama horror prey tell story nathan beau travail gregoire colin countryside retreat fall family reunion expect particularly stormy claire wife announce pregnancy tough decision need make prevent fa read femalenudity fullfrontalfemalenudity publicnudity creaturefeature forest wood darkfor onewordtitle erichvogel gr goirecolin fran oislevantal fredulysse antoineblossier antoineblossier antoineblossier
30,766507,Prey,https://image.tmdb.org/t/p/w500/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,comedy horror thriller zoo veterinarian gets catch grisly adventure find lead city wide hunt monstrous lion terrorize dutch capital amsterdam lion wilhelmscream dutch netherhorror womanwearsonlyamansshirt creaturefeature zoo veterinarian dog train julianlooman abbeyhoe markfrost dickmaas dickmaas dickmaas dickmaas
31,763285,Ambulance,https://image.tmdb.org/t/p/w500/kuxjMVuc3VTD7p42TZpJNsSrM1V.jpg,action crime drama two robber steal ambulance heist go awry ambulance money bank bankrobber heistgonewrong doctor carchase robbery remake prison lauritsmunch petersen larsandreaspedersen jakegyllenhaal yahyaabdul mateenii eizagonz lez michaelbay chrisfedak
32,763285,Ambulance,https://image.tmdb.org/t/p/w500/kuxjMVuc3VTD7p42TZpJNsSrM1V.jpg,action drama thriller two brother commit robbery desperation however go wrong decide steal ambulance soon realize alone sunlight telephonecall dilemma remade onewordtitle moraldilemma ambulance patient hospital police larsandreaspedersen pawhenriksen thomasbolarsen hellefagralid lauritsmunch petersen lauritsmunch petersen lauritsmunch petersen
33,330,The Lost World: Jurassic Park,https://image.tmdb.org/t/p/w500/jElpCJkSaRPYwIMwZY28gOKV7BK.jpg,action adventure sci fi research team send jurassic park site b island study dinosaur ingen team approach another agenda dinosaur jurassicpark tyrannosaurusrex velociraptor costarica giantdinosaur bipedaldinosaur dogsdeath blockbustervideo carnivorousdinosaur davidkoepp jeffgoldblum juliannemoore petepostlethwaite stevenspielberg stevenspielberg michaelcrichton
